,movie_code,release,acc_audience_num
0,20193450,2020-07-15,3812250
1,20191403,2019-09-04,7538
2,20028798,해당정보없음,0
3,20181434,2019-11-07,2157437
4,20125346,2012-08-30,30373
5,20040588,2004-06-04,38883
6,20112795,2012-12-06,1549
7,19900037,1990-06-02,0
8,20048407,해당정보없음,0
9,20123201,2013-04-18,169054
10,20201178,2020-11-19,3351
11,20070519,2007-10-18,410
12,20144523,2015-01-07,314780
13,19970051,1997-02-22,0
14,20182402,해당정보없음,0
15,20164461,2016-06-29,5617
16,20124082,2013-07-17,1328890
17,19980142,1998-05-16,0
18,20020248,2002-10-17,0
19,20153741,2016-11-30,1153109
20,20070178,2003-10-02,261889
21,19970037,1997-05-03,0
22,20196271,2020-07-29,1790797
23,20191198,해당정보없음,0
24,20113486,2012-07-26,44720
25,20138582,2013-06-20,7443
26,20179044,2018-08-02,16764
27,19970022,1997-08-02,0
28,20198453,2019-06-19,1094404
29,20040451,2004-02-13,15000
