,movie_code,release,acc_audience_num
0,20028351,해당정보없음,0
1,20134804,2014-09-03,4015361
2,20145502,2016-02-25,203775
3,20050148,2005-07-29,3650000
4,20020278,2002-11-29,0
5,20196270,2021-08-11,2187715
6,20217651,2021-06-09,227037
7,20136061,2013-11-21,1214836
8,20040668,2004-09-10,1570
9,19940108,1994-02-26,0
10,19968033,해당정보없음,0
11,20133602,2014-03-20,2026574
12,19960019,1996-10-19,0
13,20100296,2010-06-16,3385706
14,20090051,2009-07-15,1799356
15,20178982,2017-06-28,2359174
16,20175481,2017-12-14,53121
17,20174169,2019-02-13,263322
18,20163580,2017-02-15,501486
19,20080077,2008-02-28,52787
20,20098186,해당정보없음,0
21,20018138,해당정보없음,0
22,20149421,2014-08-14,5212
23,20040631,2004-08-27,1335571
24,20176222,해당정보없음,0
25,20172142,2017-09-27,215203
26,20192696,2021-06-23,952195
27,20188750,2019-09-11,4573902
28,20140930,2014-09-04,54
29,20098194,2014-04-23,43
