,movie_code,release,acc_audience_num
0,20182447,2020-02-05,1270835
1,20111893,2011-09-22,165123
2,20110314,2011-05-19,5741
3,20136782,2013-04-11,16912
4,20030439,2004-01-30,137413
5,19860014,1986-03-15,0
6,20150977,2016-02-17,848148
7,20101028,2010-10-28,12082
8,20000178,2000-06-03,0
9,20110303,2011-09-07,700272
10,20078589,해당정보없음,0
11,20170670,2018-08-15,2524333
12,20090667,2009-10-28,132657
13,20217335,해당정보없음,0
14,19920153,1992-03-25,0
15,20154661,2016-11-23,2982022
16,20098095,해당정보없음,0
17,19920259,1992-08-01,0
18,20060208,2006-07-27,31654
19,20211177,해당정보없음,0
20,20090159,2009-06-18,1071
21,20081391,2008-10-16,532324
22,20124381,2012-03-01,1501
23,20050205,2005-08-25,262893
24,20070205,2007-06-21,1408882
25,20058692,해당정보없음,0
26,20000056,2000-12-09,0
27,20158670,2015-05-14,62016
28,20210303,2021-12-01,406
29,20168124,해당정보없음,0
