,movie_code,release,acc_audience_num
0,20101221,2010-12-01,2080574
1,20156402,2015-03-12,573657
2,20134801,2013-11-14,731212
3,20040751,2005-03-10,43457
4,19890209,1989-07-15,0
5,20173202,2018-05-17,528153
6,20148776,해당정보없음,0
7,20040628,2004-10-08,2479585
8,20030410,2003-12-24,11081000
9,20180939,2020-01-22,4750104
10,20183782,2019-05-30,10313086
11,20010015,2001-10-12,0
12,20194424,2020-10-15,403424
13,20164174,2017-08-23,1373316
14,20123383,2013-10-09,2394466
15,20080061,2009-12-10,4155
16,20119589,2011-02-24,31152
17,20217766,2021-05-12,1784
18,20200622,해당정보없음,0
19,20040706,2004-12-31,1671576
20,20184571,2019-12-26,2000490
21,20112176,2011-09-01,541
22,20112221,2011-10-13,110631
23,20187473,해당정보없음,0
24,20135649,해당정보없음,0
25,20068519,해당정보없음,0
26,20209304,2020-10-28,37961
27,20161827,2017-03-01,2169109
28,20119983,해당정보없음,0
29,19828083,해당정보없음,0
