,movie_code,release,acc_audience_num
0,20040649,2004-09-17,2890000
1,20020264,2002-10-17,0
2,20185784,2019-05-01,1478156
3,20124938,2013-12-24,4131248
4,20126388,2012-12-25,472692
5,20170402,2017-12-14,4452740
6,20199718,해당정보없음,0
7,20040609,2003-11-14,31171
8,20098124,해당정보없음,0
9,20040741,2005-03-25,42419
10,20040778,2005-03-10,3090467
11,20020054,2002-05-09,0
12,20217736,2021-06-03,799414
13,20190808,해당정보없음,0
14,20040786,2005-01-27,3911356
15,20168323,2018-01-31,990104
16,20141961,2014-10-30,50098
17,20127506,2012-07-05,0
18,20020199,2002-07-10,0
19,20090379,2009-07-15,3002669
20,20129368,2013-03-14,1716429
21,20162929,해당정보없음,0
22,20121731,해당정보없음,0
23,20123501,2014-07-23,4774895
24,20164844,2017-05-17,951797
25,20174369,2018-07-04,490033
26,20182672,2018-12-13,3679
27,20190300,해당정보없음,0
28,20153444,2016-10-13,6975290
29,19840091,1984-12-22,0
