,movie_code,release,acc_audience_num
0,20072069,해당정보없음,0
1,19991176,해당정보없음,0
2,20072074,해당정보없음,0
3,20136586,2014-01-09,33818
4,20070545,2007-11-29,350204
5,20113554,2012-05-17,4598583
6,20184722,해당정보없음,0
7,20156564,2016-07-20,11565479
8,20112534,2011-09-22,4662822
9,20209304,2020-10-28,37961
10,20194456,2019-09-25,554093
11,20139164,2014-04-30,2841788
12,20179101,2018-08-08,4974512
13,20158622,2015-05-07,9454
14,20078751,해당정보없음,0
15,20100256,2010-05-20,699973
16,19940005,1994-12-17,0
17,20119718,2011-03-24,35578
18,20098214,해당정보없음,0
19,20177063,해당정보없음,0
20,20090022,2009-02-05,142336
21,20180140,2019-06-27,4603
22,20149421,2014-08-14,5212
23,20100787,2010-09-16,37086
24,20030133,2003-09-04,3148748
25,20018870,해당정보없음,0
26,19988665,해당정보없음,0
27,20134590,2014-11-27,1177438
28,20148927,2014-10-08,133663
29,20058304,해당정보없음,0
