,movie_code,release,acc_audience_num
0,20060040,2006-03-01,341242
1,20165001,2017-08-24,103054
2,20126091,2013-09-11,9134586
3,20101004,2010-10-21,45896
4,20110221,2011-05-04,1277690
5,20200846,2020-07-01,4117
6,20060562,해당정보없음,0
7,20192662,해당정보없음,0
8,20050326,2005-12-14,4094395
9,20124054,2012-10-31,6654837
10,20070303,2007-08-15,182050
11,20136865,2014-01-16,17977
12,20101028,2010-10-28,12082
13,20191143,해당정보없음,0
14,20210600,2021-11-18,67087
15,20020139,2002-05-16,0
16,20198317,해당정보없음,0
17,20124079,2012-09-13,12319542
18,20124080,2012-08-08,790181
19,20050356,2006-01-13,12621
20,20129216,해당정보없음,0
21,20090311,2009-12-03,1046787
22,20161481,2017-07-26,6592151
23,20100046,2010-12-30,7070
24,20145103,2015-02-26,55892
25,20148687,2014-05-29,7967
26,20090319,2009-07-09,443462
27,20138962,2014-05-01,765713
28,20081616,2009-03-12,304
29,20126674,2013-08-01,9349991
