,movie_code,release,acc_audience_num
0,20080934,2008-06-29,215
1,20080937,해당정보없음,0
2,20040490,2004-06-03,3006400
3,20119341,2011-02-17,1867849
4,20191029,2019-10-23,3679019
5,20000056,2000-12-09,0
6,20175162,해당정보없음,0
7,20174652,해당정보없음,0
8,20144444,2016-06-01,4287839
9,20208446,해당정보없음,0
10,20164928,2017-01-11,35881
11,20110657,2011-07-27,645191
12,20142402,2015-05-21,1110246
13,20121923,2012-12-06,11199
14,20156744,해당정보없음,0
15,20038993,해당정보없음,0
16,19998036,해당정보없음,0
17,20156250,2016-07-27,7049643
18,20218203,해당정보없음,0
19,20123483,2013-01-31,35328
20,20170590,2017-12-27,7231638
21,20160864,해당정보없음,0
22,20127593,2013-01-23,12811206
23,20090218,해당정보없음,0
24,20160881,2017-01-12,7761
25,20163961,2016-07-13,66473
26,20112762,2011-11-10,424002
27,20018559,해당정보없음,0
28,20161921,2016-03-24,34295
29,20124034,2012-07-25,12983330
