,movie_name,code,actor1_code,actor2_code,release,actor_power
0,오징어 게임,0.0,10057315,20305129,2021-09-17,1837094.0
1,킹덤,0.0,10069179,10019065,2019-01-25,6219299.666666667
2,보건교사 안은영,0.0,10062071,20279929,2020-09-25,3041107.3333333335
3,옥자,0.0,10081721,10063816,2017-05-19,547475.25
4,승리호,0.0,10037229,20201026,2021-02-05,1505560.0
