,movie_code,release,acc_audience_num
0,20080690,1983-10-29,0
1,20197691,2019-10-09,21252
2,20132206,해당정보없음,0
3,19920050,1992-09-19,0
4,19970217,1997-08-02,0
5,20158482,2016-02-17,1169335
6,20156281,2015-08-13,43964
7,20144442,2015-12-30,628576
8,20081393,2008-10-16,156983
9,20161725,2016-12-21,7150541
10,20018285,해당정보없음,0
11,20030435,2004-01-16,1513000
12,20124400,2012-09-20,1310895
13,20078683,해당정보없음,0
14,20157218,해당정보없음,0
15,20132799,2014-08-21,45701
16,20210028,해당정보없음,0
17,19960198,1996-06-22,0
18,20030014,2003-02-28,837236
19,20020243,2002-10-24,0
20,20163202,2016-06-22,92358
21,20119718,2011-03-24,35578
22,20162563,2016-08-11,28
23,19910305,1991-10-26,0
24,20147430,2014-02-27,71483
25,20205529,2020-03-05,7816
26,20135633,해당정보없음,0
27,20168221,2017-11-15,1786386
28,20188421,2020-01-22,602615
29,20060104,2006-04-27,14300
