,movie_code,release,acc_audience_num
0,20113975,2012-02-16,117188
1,20150976,2017-12-20,14410754
2,20060100,2006-04-27,2104716
3,20140110,2015-02-11,6129681
4,20133322,2014-05-14,1441964
5,20163661,2016-06-29,858402
6,20130688,해당정보없음,0
7,20164828,해당정보없음,0
8,20138202,2013-08-07,978788
9,20183787,2018-12-27,22348
10,20161870,2016-04-07,61955
11,20219628,해당정보없음,0
12,20010017,2001-09-06,0
13,20198401,2019-10-30,3093
14,20080661,2008-05-29,71212
15,20190470,2019-08-15,23446
16,20008980,해당정보없음,0
17,20141821,2014-10-02,1435
18,20194442,2019-09-11,28850
19,20070174,2007-05-17,3500
20,20090782,2010-01-28,2746
21,20192753,2019-07-31,10506
22,19980024,1998-08-01,0
23,20203286,2021-11-10,294723
24,20060337,2006-11-23,742276
25,20060070,2006-05-31,164606
26,19998862,해당정보없음,0
27,20162881,2016-05-19,8108
28,20216368,2021-03-11,5879
29,19960049,1996-04-05,0
