,movie_code,release,acc_audience_num
0,20177350,2018-02-08,1745
1,20188462,2019-12-04,469348
2,20199950,2019-10-02,5255308
3,20189987,2018-09-12,0
4,20050065,2005-04-29,540056
5,20153422,2015-09-10,10710
6,20020106,2002-03-28,0
7,20125338,2012-08-30,344876
8,20137426,2013-05-30,537920
9,20030004,2003-02-07,4937573
10,20111719,해당정보없음,0
11,19940280,1994-08-06,0
12,20162963,2016-05-12,2758
13,20162869,2017-08-02,12186684
14,20127046,2012-07-12,2912
15,20090875,2009-12-17,109195
16,20155737,2015-12-02,0
17,20081616,2009-03-12,304
18,20197434,2021-03-31,340722
19,20145102,2015-02-26,91164
20,20113487,2011-12-22,11939
21,19940246,1994-07-02,0
22,20159647,2017-06-28,470105
23,19970159,1997-05-31,0
24,20176526,해당정보없음,0
25,20197122,해당정보없음,0
26,20183288,2018-12-06,56942
27,20124937,2013-08-14,3119023
28,20050239,2005-09-23,3051134
29,20098138,해당정보없음,0
