,movie_code,release,acc_audience_num
0,20000044,2000-09-08,0
1,20030420,2003-12-31,764567
2,20128271,2012-08-30,96079
3,20136853,2014-01-16,7471
4,20129227,2012-10-03,12408
5,20100209,2010-07-14,3408144
6,20080694,1985-12-21,0
7,20135221,2013-05-22,1790457
8,20134984,2013-12-19,599963
9,20176141,2017-06-01,109358
10,20070209,2007-07-25,7307993
11,20008623,해당정보없음,0
12,19970020,1997-10-25,0
13,20121549,2013-05-01,977873
14,20177461,2018-10-04,14487
15,20203557,해당정보없음,0
16,20000025,2000-03-11,0
17,20217391,해당정보없음,0
18,20088634,해당정보없음,0
19,20011111,해당정보없음,0
20,20101109,2010-11-18,131415
21,20157158,2016-01-14,305134
22,19990252,1999-09-11,0
23,20090307,2009-07-29,8487894
24,20072057,2008-06-12,4162
25,20163046,해당정보없음,0
26,20090222,2009-04-30,1303452
27,20060066,2006-03-31,934
28,20173991,2019-01-24,2097
29,20128143,2012-09-06,444434
