,movie_code,release,acc_audience_num
0,20193879,해당정보없음,0
1,20090892,2010-01-14,146148
2,20160472,2016-11-30,60365
3,20154907,2017-10-12,323628
4,20041096,해당정보없음,0
5,20040641,2004-10-22,1531840
6,20124050,2012-03-08,2436400
7,19840055,1984-09-30,0
8,20177182,해당정보없음,0
9,20048103,2005-01-07,842000
10,20149570,2015-02-11,3872015
11,20134589,2014-10-02,1755181
12,20194377,해당정보없음,0
13,20177389,해당정보없음,0
14,20060042,2006-03-09,212902
15,20122784,2013-05-16,2095592
16,20070042,2007-03-01,321654
17,20217845,2021-08-04,419796
18,20210785,해당정보없음,0
19,20068540,해당정보없음,0
20,20020164,2002-06-05,0
21,20068792,해당정보없음,0
22,19870136,1987-10-24,0
23,20090426,2009-08-12,464076
24,20090582,2009-10-15,11420
25,20199842,2020-02-26,575043
26,20070098,2007-04-26,12293
27,20136887,2014-02-20,155374
28,20010148,2001-03-09,0
29,20177552,2018-11-28,3754983
