,movie_code,release,acc_audience_num
0,19920061,1992-08-15,0
1,20178230,2018-01-24,286042
2,20137549,2013-07-25,1923748
3,20182669,2018-11-22,37241
4,20070521,2007-11-14,890100
5,20141662,2014-09-18,0
6,19950257,1995-08-05,0
7,20080996,2008-07-30,4090795
8,20172188,해당정보없음,0
9,20110162,2011-04-21,17097
10,20081002,2008-09-25,390741
11,20147788,2014-03-20,9575
12,20148618,해당정보없음,0
13,20072686,2008-10-02,758473
14,20000051,2000-12-30,0
15,20166942,2016-08-11,73
16,20136888,2015-01-21,2192172
17,20136792,해당정보없음,0
18,20142641,2016-01-07,427197
19,20090815,2009-11-26,616654
20,20195920,2019-10-02,2924563
21,20112117,2011-08-17,114887
22,20160303,해당정보없음,0
23,20134786,해당정보없음,0
24,19980211,1998-09-12,0
25,20170942,2018-07-25,897548
26,20135464,2013-11-21,5115
27,20000068,1999-12-04,0
28,20113885,2012-05-24,3379762
29,20170658,2018-12-26,1671548
