,movie_code,release,acc_audience_num
0,20150901,2016-08-25,66883
1,20183133,2018-07-12,12713
2,20090578,2009-10-28,336312
3,20050180,2005-08-04,8008622
4,20214823,해당정보없음,0
5,20119974,2011-04-14,1059350
6,20101222,2010-12-22,2167426
7,20132621,2014-06-26,2898
8,20000043,2000-11-11,0
9,20050216,2005-09-08,1203146
10,20068367,해당정보없음,0
11,20018595,해당정보없음,0
12,19950104,1995-03-04,0
13,20100046,2010-12-30,7070
14,19980119,1998-04-04,0
15,20133082,해당정보없음,0
16,20090156,2009-04-02,1914779
17,20208004,해당정보없음,0
18,20050232,2005-10-07,2533103
19,20163012,2016-04-28,5908
20,20020236,2002-12-11,4082797
21,20040775,2005-01-14,528817
22,20177223,2017-06-15,7269
23,20176122,2018-09-19,5440186
24,19978091,1997-02-22,0
25,20159222,해당정보없음,0
26,19930396,1993-12-18,0
27,20208721,해당정보없음,0
28,20153201,2015-10-15,161245
29,20135740,해당정보없음,0
