,movie_code,release,acc_audience_num
0,20136991,해당정보없음,0
1,20169348,2017-05-31,837500
2,20156749,2015-06-25,170647
3,20020228,2002-08-15,0
4,20134609,2014-09-18,3135
5,20124057,2012-10-18,1552055
6,20081287,1989-06-24,0
7,20070115,2007-05-23,1710364
8,20197654,해당정보없음,0
9,20080183,2008-03-07,28
10,20100810,2010-09-09,1083746
11,20132167,2013-10-17,10328
12,20081388,2010-05-27,3656
13,19950230,1995-07-01,0
14,20217905,해당정보없음,0
15,20162181,2017-03-23,2931897
16,20180671,2018-10-18,20713
17,20050223,2005-09-16,2681
18,20136385,해당정보없음,0
19,20124917,2012-10-31,33884
20,20131967,해당정보없음,0
21,20060339,2006-11-30,216876
22,20100090,2010-02-25,129633
23,19930239,1993-11-13,0
24,20179101,2018-08-08,4974512
25,19960251,1996-08-24,0
26,20127446,2012-09-13,51800
27,20219404,2021-09-08,36
28,20182669,2018-11-22,37241
29,20198161,2021-06-30,106003
