,movie_code,release,acc_audience_num
0,20149372,2014-07-23,6591
1,20132824,2013-11-28,132059
2,19950213,1995-06-10,0
3,20140196,2014-09-25,52488
4,20081809,2009-01-08,951855
5,20040628,2004-10-08,2479585
6,20008384,해당정보없음,0
7,20215803,2021-04-07,9257
8,20174621,2017-04-20,0
9,20177552,2018-11-28,3754983
10,20126522,해당정보없음,0
11,20159510,2016-01-07,121278
12,20148296,해당정보없음,0
13,20113911,2012-02-02,185744
14,19978454,해당정보없음,0
15,20060338,2006-11-30,336065
16,20060303,2006-10-19,2052
17,20060369,2006-12-07,730443
18,20138421,2013-08-22,101460
19,19959144,1995-07-01,0
20,20060117,2006-05-18,3339082
21,20140930,2014-09-04,54
22,19988761,해당정보없음,0
23,20030135,2003-09-05,2010460
24,20134582,2013-10-02,2711071
25,20008034,해당정보없음,0
26,20201876,2021-11-11,325
27,20090605,2009-10-22,2583294
28,20167867,2016-10-06,56541
29,19990211,1999-06-19,0
