,movie_code,release,acc_audience_num
0,20179230,2018-12-05,1561258
1,20088495,해당정보없음,0
2,20126306,2013-03-21,260144
3,20070111,2007-05-01,488221
4,19960038,1996-07-13,0
5,20020077,2002-02-21,0
6,20199816,2020-09-29,1719592
7,20050126,2005-06-03,67499
8,20140842,2014-12-03,1511845
9,20030053,2003-04-30,1500000
10,20124449,2012-02-29,163729
11,20136125,해당정보없음,0
12,20124046,2012-08-30,45454
13,20211281,해당정보없음,0
14,20156082,2016-08-03,2520510
15,20155697,해당정보없음,0
16,20048415,해당정보없음,0
17,20090051,2009-07-15,1799356
18,20040745,2004-12-15,1155067
19,19970022,1997-08-02,0
20,20148460,2016-08-17,147031
21,20058152,해당정보없음,0
22,20080696,1987-05-02,0
23,20080015,2008-01-31,214946
24,20133942,2013-01-09,35
25,20184541,2018-05-25,11
26,20161686,해당정보없음,0
27,20090822,2009-11-26,101197
28,20181877,2019-03-06,5801069
29,20200802,2020-07-01,3230
