,movie_code,release,acc_audience_num
0,20194376,해당정보없음,0
1,20008599,해당정보없음,0
2,20133164,해당정보없음,0
3,20176104,2018-01-17,3418043
4,20080873,2008-07-02,2723518
5,20173612,2017-11-02,26651
6,20168822,2016-10-05,13812
7,20030003,2003-01-30,1545107
8,20142110,2014-10-23,23597
9,20018145,해당정보없음,0
10,20070203,2008-05-29,18533
11,19910221,1991-06-01,0
12,19900194,1990-05-12,0
13,20217845,2021-08-04,419796
14,20126617,2012-06-14,50839
15,20148840,2014-09-04,39091
16,20051240,해당정보없음,0
17,20030107,2003-08-14,719234
18,20154904,해당정보없음,0
19,20060225,2006-08-24,904802
20,20000043,2000-11-11,0
21,19960324,1996-11-16,0
22,20176069,2018-05-03,26921
23,20170670,2018-08-15,2524333
24,20163163,2016-05-25,9717
25,20182490,2019-07-24,958775
26,20147790,2014-03-26,3963220
27,20198317,해당정보없음,0
28,20129166,2012-09-27,266574
29,20101070,2010-11-10,459535
