,movie_code,release,acc_audience_num
0,20135848,해당정보없음,0
1,20207373,2020-10-09,0
2,20060124,2006-05-25,544656
3,19930156,1993-06-18,0
4,20028318,해당정보없음,0
5,20163249,2017-02-08,0
6,20080870,2009-02-05,837059
7,20155702,2015-09-03,2841699
8,20119971,2013-04-04,38809
9,20070367,2007-08-15,1095119
10,20135603,2013-02-25,0
11,20030014,2003-02-28,837236
12,20149374,2014-06-18,3464
13,20189987,2018-09-12,0
14,20030404,2003-12-05,1887000
15,20100141,2010-03-25,105886
16,19920233,1992-07-07,0
17,20090018,2009-01-22,522667
18,20008138,해당정보없음,0
19,20135063,해당정보없음,0
20,20196763,2021-12-01,475
21,20050013,2005-03-17,1914941
22,20184047,2019-06-20,3399913
23,20050015,2005-06-02,55970
24,19890156,1989-05-05,0
25,20030206,2004-02-06,49900
26,20184721,2018-06-27,229542
27,20030015,2003-02-28,115000
28,19960288,1996-10-12,0
29,20182701,2018-04-19,28477
