,movie_code,release,acc_audience_num
0,20040484,2004-05-21,550000
1,20060644,해당정보없음,0
2,20028152,해당정보없음,0
3,19990156,1999-04-03,0
4,20217425,해당정보없음,0
5,20158362,해당정보없음,0
6,20162968,2016-09-07,513202
7,20127631,2012-06-28,100
8,20152371,2016-12-14,1168625
9,20148807,2014-06-04,4699208
10,20210844,2021-10-14,1025
11,20040568,2004-06-03,2199359
12,19918269,2013-11-14,13664
13,19950305,1995-10-14,0
14,20050332,2005-12-22,328538
15,20156281,2015-08-13,43964
16,20125333,2013-04-10,1744585
17,20018595,해당정보없음,0
18,20142402,2015-05-21,1110246
19,20000027,2000-03-11,0
20,20031038,해당정보없음,0
21,20127768,해당정보없음,0
22,19838060,해당정보없음,0
23,20090126,1990-03-24,0
24,20168124,해당정보없음,0
25,20050259,2005-10-20,110500
26,20119434,해당정보없음,0
27,20167901,2017-04-05,234681
28,20110172,2011-04-20,55561
29,20090454,2009-08-20,121018
