,movie_code,release,acc_audience_num
0,20137048,2014-12-17,14257115
1,20208721,해당정보없음,0
2,20060421,2007-02-08,1847875
3,20098178,해당정보없음,0
4,20010037,2001-10-26,0
5,2009A055,해당정보없음,0
6,20218198,해당정보없음,0
7,20030115,2003-08-22,76400
8,20038304,해당정보없음,0
9,20113889,2012-05-03,298366
10,20193879,해당정보없음,0
11,20113883,2012-01-11,94652
12,20072074,해당정보없음,0
13,20156250,2016-07-27,7049643
14,20173693,2017-12-07,205544
15,20191043,해당정보없음,0
16,20127211,2012-07-12,39394
17,19970089,1997-02-01,0
18,20211242,해당정보없음,0
19,20048726,해당정보없음,0
20,20164642,2017-02-09,3065
21,20196271,2020-07-29,1790797
22,19810030,1981-09-12,0
23,20050148,2005-07-29,3650000
24,19960179,1996-05-24,0
25,20102417,2011-01-27,1762070
26,20195915,2019-02-14,412850
27,20163584,해당정보없음,0
28,20199581,2020-01-08,1607082
29,19930220,1993-09-25,0
