,movie_code,release,acc_audience_num
0,20081363,2008-10-02,73126
1,20020048,2003-04-18,62788
2,20198912,2019-04-18,23133
3,20100301,2010-08-12,1848418
4,19960316,1996-11-02,0
5,20192804,2019-09-04,591346
6,20150523,2016-05-25,2938818
7,20162881,2016-05-19,8108
8,20121549,2013-05-01,977873
9,20144258,해당정보없음,0
10,20156007,2016-10-19,689071
11,20068576,2016-01-14,652453
12,20068070,해당정보없음,0
13,19940016,1994-11-05,0
14,20090782,2010-01-28,2746
15,20040489,2004-05-05,284872
16,20145361,2015-07-29,2625572
17,20051242,해당정보없음,0
18,20156707,해당정보없음,0
19,20217766,2021-05-12,1784
20,20040739,2004-11-26,56709
21,20088488,해당정보없음,0
22,20078636,해당정보없음,0
23,20078723,해당정보없음,0
24,20179189,2018-10-03,3789321
25,19998245,해당정보없음,0
26,20050135,2005-06-30,1371122
27,20185081,2018-06-06,240297
28,20090914,2010-01-28,3068544
29,20100826,2011-03-03,27265
