,movie_code,release,acc_audience_num
0,19990061,2000-06-10,0
1,20018152,해당정보없음,0
2,20100296,2010-06-16,3385706
3,20187657,2018-08-23,69834
4,20145253,해당정보없음,0
5,20010257,2001-09-27,0
6,20128549,2012-08-16,19917
7,20000281,2000-11-03,0
8,20147803,2015-06-11,36055
9,20178581,2017-11-29,864757
10,20180939,2020-01-22,4750104
11,20176102,2017-07-06,18648
12,20080693,1985-03-01,0
13,20030033,2003-04-04,73132
14,20101195,2011-09-01,513
15,20070204,2007-06-21,98398
16,19950358,1995-12-23,0
17,20156275,2015-12-10,61046
18,20181983,2020-11-25,431559
19,20040598,2004-07-16,2532000
20,20090839,2009-12-17,5014
21,20159909,2015-12-05,0
22,20149250,2014-06-11,54
23,20136863,2014-10-02,471169
24,20181181,2018-07-25,6584915
25,20166468,2017-02-28,94750
26,20000029,2000-01-29,0
27,20144442,2015-12-30,628576
28,20070548,2008-02-05,1123294
29,20219206,2021-08-04,3674
