,movie_code,release,acc_audience_num
0,20177005,2018-05-09,771141
1,20154910,2016-08-10,7120508
2,20060562,해당정보없음,0
3,20008980,해당정보없음,0
4,20134001,2013-01-31,5663
5,20175547,2018-12-19,1471247
6,20060384,2006-01-13,0
7,20198421,2019-11-13,136869
8,20197303,2019-03-26,17
9,20000151,2000-04-29,0
10,19940288,1994-08-13,0
11,20010047,2001-02-02,0
12,20175405,2020-09-10,61897
13,20154001,2016-01-14,2007657
14,20178490,2018-03-07,49612
15,20198401,2019-10-30,3093
16,20151803,2016-01-28,3984812
17,20188941,2019-05-15,3364360
18,19990073,1999-06-26,0
19,20090406,2009-07-23,180
20,19998032,2019-10-09,9802
21,19991115,해당정보없음,0
22,20138830,해당정보없음,0
23,20147823,해당정보없음,0
24,20113557,2012-02-02,4719872
25,20060412,2007-01-11,1406199
26,20133702,해당정보없음,0
27,19950370,1996-08-03,0
28,20218653,2021-08-25,93656
29,20068519,해당정보없음,0
