,movie_code,release,acc_audience_num
0,20068073,해당정보없음,0
1,19980252,1998-11-07,0
2,20158358,2018-01-18,1095
3,20068590,2012-04-11,97916
4,20020248,2002-10-17,0
5,20030145,2003-09-26,224182
6,20098194,2014-04-23,43
7,20171962,2017-08-30,1721757
8,20090449,2009-09-03,328767
9,20088506,2012-11-29,2963449
10,20081393,2008-10-16,156983
11,20161481,2017-07-26,6592151
12,19960214,1996-07-06,0
13,20185485,2018-10-31,9948386
14,20010070,2002-03-13,0
15,20182494,2018-04-19,29354
16,20159647,2017-06-28,470105
17,20020065,2002-01-24,0
18,20135386,2014-10-02,1169562
19,20070289,2007-08-08,677939
20,20140110,2015-02-11,6129681
21,19870062,1987-09-26,0
22,20158670,2015-05-14,62016
23,20203461,2020-08-19,12137
24,19998570,해당정보없음,0
25,20178378,해당정보없음,0
26,20124062,2012-07-05,4515833
27,20162299,2016-04-27,21692
28,20175407,2019-03-20,183784
29,20160303,해당정보없음,0
