,movie_code,release,acc_audience_num
0,20072164,2003-10-10,64334
1,20200846,2020-07-01,4117
2,20187322,2019-09-11,1181960
3,20020222,2002-12-13,4000000
4,19998240,해당정보없음,0
5,20136803,2014-01-16,10296101
6,20176961,2017-06-28,83258
7,20040619,2004-09-17,834706
8,20218121,2021-06-30,7201
9,20040669,2004-09-24,267300
10,20028486,해당정보없음,0
11,20090875,2009-12-17,109195
12,20154805,2015-10-08,9491
13,20194459,2019-08-21,338
14,20173202,2018-05-17,528153
15,20048452,해당정보없음,0
16,19930041,1993-12-18,0
17,20135656,2014-09-03,1974893
18,20162563,2016-08-11,28
19,20060245,2006-08-24,508285
20,20168747,2016-11-10,4682
21,20147290,해당정보없음,0
22,20090933,2010-04-29,4498335
23,19980034,1998-05-16,0
24,20080847,2008-06-26,2867594
25,20120663,해당정보없음,0
26,19990066,1999-09-18,0
27,20204644,2020-07-08,181567
28,20139164,2014-04-30,2841788
29,20202785,2021-08-31,649
