,actor_code,movie_name,movie_code
0,20209526,더 문,20218935
1,20209526,언더독(Underdog),20186324
2,20209526,스윙키즈(Swing Kids),20175547
3,20209526,7호실(Room No.7),20168754
4,20209526,형(MY ANNOYING BROTHER),20154661
5,20209526,순정(UNFORGETTABLE),20151021
6,20111894,죽지않는 인간들의 밤(Night of the Undead),20190621
7,20111894,해치지않아(SECRET ZOO),20183002
8,20111894,도어락(Door Lock),20179230
9,20111894,성난황소(Unstoppable),20184481
10,20111894,널 기다리며(Missing You),20145396
11,20111894,살인캠프(Barracks),20149312
12,20111894,패션왕(Fashion King),20147129
13,10046277,호라이즌 라인(Horizon Line),20202263
14,10046277,겟 아웃(GET OUT),20175262
15,10075582,쥬만지: 넥스트 레벨(Jumanji : The Next Level),20198681
16,10075582,마이펫의 이중생활 2(The Secret Life of Pets 2),20183844
17,10075582,업사이드(The Upside),20191401
18,10075582,쥬만지: 새로운 세계(Jumanji: Welcome to the Jungle),20171909
19,10075582,마이펫의 이중생활(The Secret Life of Pets),20156082
20,10075582,겟하드(Get Hard),20155586
21,10075582,더 웨딩 링거(The Wedding Ringer),20152168
22,10075582,라이드 어롱(Ride Along),20140021
23,10075582,씽크 라이크 어 맨 투(Think Like a Man Too),20144258
24,10075582,어바웃 라스트 나이트(About Last Night),20140047
25,10075582,내 남자 사용법(Think Like a Man),20136141
26,10075582,쏘울 플레인(Soul Plane),20048407
27,10075582,페이퍼 솔저(Paper Soldiers),20028521
28,10075582,늑대 인간(Lone Wolf),20136460
29,20111975,테넷(Tenet),20201122
30,20111975,바바리안(Waiting for the Barbarians),20210844
31,20111975,하이 라이프(HIGH LIFE),20198521
32,20111975,굿타임(Good Time),20176052
33,20111975,잃어버린 도시 Z(The Lost City Of Z),20168241
34,20111975,퀸 오브 데저트(Queen Of The Desert),20158884
35,20111975,라이프(Life),20155602
36,20111975,맵 투 더 스타(Maps To The Stars),20141783
37,20111975,더 로버(The Rover),20150424
38,20111975,코스모폴리스(Cosmopolis),20138882
39,20111975,브레이킹 던 part2(The Twilight Saga: Breaking Dawn Part 2),20126469
40,20111975,벨 아미(Bel Ami),20125346
41,20111975,브레이킹 던 part1(The Twilight Saga: Breaking Dawn - Part 1),20110905
42,20111975,워터 포 엘리펀트(Water For Elephants),20110235
43,20111975,리멤버 미(Remember Me),20100826
44,20111975,이클립스(The Twilight Saga: Eclipse),20100361
45,20111975,뉴 문(The Twilight Saga: New Moon),20090828
46,20111975,하우 투 비(How To Be),20090782
47,20111975,리틀 애쉬 : 달리가 사랑한 그림(Little Ashes),20090601
48,20111975,트와일라잇(Twilight),20081697
49,10019065,장르만 로맨스(Perhaps Love),20191243
50,10019065,비광,20204641
51,10019065,정가네 목장(가제),20215830
52,10019065,인생은 아름다워(Life is Beautiful),20198317
53,10019065,극한직업(Extreme Job),20182530
54,10019065,7년의 밤(Seven Years of Night),20154908
55,10019065,염력(Psychokinesis),20168323
56,10019065,제5열,20163685
57,10019065,서울역(Seoul Station),20148460
58,10019065,도리화가(THE SOUND OF A FLOWER),20140144
59,10019065,손님(The Piper),20148844
60,10019065,리오 2(Rio 2),20138962
61,10019065,표적(The Target),20139164
62,10019065,명량(Roaring Currents),20129370
63,10019065,캡틴 하록(Harlock : Space Pirate),20136865
64,10019065,7번방의 선물(Miracle in Cell No.7),20127593
65,10019065,가디언즈(Rise of the Guardians),20126407
66,10019065,"광해, 왕이 된 남자(Masquerade)",20124079
67,10019065,내 아내의 모든 것(All About My Wife),20113554
68,10019065,사랑오감,20156744
69,10019065,최종병기 활 감독확장판(War of the Arrows (Director's Cut)),20112911
70,10019065,최종병기 활(War of the Arrows),20110302
71,10019065,고지전(The Front Line),20119515
72,10019065,지구대표 롤링스타즈(Rolling Stars: The Greatest Space Baseball Competition),20119718
73,10019065,아이들...(Children...),20119341
74,10019065,평양성(Battlefield Heroes),20102415
75,10019065,퀴즈왕(The Quiz Show Scandal),20100813
76,10019065,된장(The Recipe),20101004
77,10019065,시크릿(Secret),20090311
78,10019065,불신지옥(Possessed),20090434
79,10019065,열한번째 엄마(My 11th Mother),20070545
80,10019065,고마운 사람(Someone Grateful),20060384
81,10019065,다섯 개의 시선(If You Were Me ),20050356
82,10043531,더 파더(The Father),20200065
83,10043531,엘리스(Elyse),20211621
84,10043531,두 교황(The Two Popes),20198948
85,10043531,토르: 라그나로크(THOR: RAGNAROK),20175121
86,10043531,트랜스포머: 최후의 기사(TRANSFORMERS: THE LAST KNIGHT),20166967
87,10043531,아우토반(Autobahn),20168742
88,10043531,미스컨덕트(Misconduct),20162161
89,10043531,미스터 하이네켄(Kidnapping Freddy Heineken),20153761
90,10043531,노아(Noah),20133602
91,10043531,토르: 다크 월드(Thor: The Dark World ),20138355
92,10043531,레드: 더 레전드(RED2),20136962
93,10043531,히치콕(Hitchcock),20138830
94,10043531,토르: 천둥의 신(Thor),20110211
95,10043531,더 라이트: 악마는 있다(The Rite),20110172
96,10043531,360(360 ),20152063
97,10043531,환상의 그대(You Will Meet a Tall Dark Stranger),20119244
98,10043531,울프맨(The Wolfman),20090929
99,10043531,달콤한 악마의 유혹(Shortcut To Happiness),20100478
100,10043531,더 시티 오브 유어 파이널 데스티네이션(The City Of Your Final Destination),20088395
101,10043531,슬립스트림(Slipstream),20078636
102,10043531,프랙처(Fracture),20078624
103,10043531,바비(Bobby),20100013
104,10043531,세상에서 가장 빠른 인디언(The World's Fastest Indian),20058582
105,10043531,프루프(Proof),20058152
106,10043531,휴먼 스테인(The Human Stain),20040479
107,10043531,배드컴패니(Bad Company),20020185
108,10043531,하트 인 아틀란티스(Hearts In Atlantis),20020100
109,10043531,한니발(Hannibal),20010181
110,10043531,인스팅트 (Instinct),19990207
111,10043531,지그프리드 앤 로이(Siegfried & Roy: The Magic Box),19991252
112,10043531,타이투스(Titus),19998474
113,10043531,조블랙의 사랑(Meet Joe Black),19980280
114,10043531,디 엣지 (The Edge),19980185
115,10043531,어거스트(August ),20182083
116,10043531,닉슨(Nixon),19960096
117,10043531,로드 투 웰빌(The Road To Wellville),19980112
118,10043531,가을의 전설 (Legends Of The Fall),19950123
119,10043531,새도우 랜드 (Shadow Lands),19950144
120,10043531,이노센트 (The Innocent),19940377
121,10043531,남아있는 나날 (Remains Of The Day),19940154
122,10043531,하워즈 엔드(Howards End),19930117
123,10043531,프리잭(Free Jack),19920213
124,10043531,양들의 침묵(The Silence Of The Lambs),19910237
125,10043531,광란의 시간(Desperate Hours),19910312
126,10043531,오델로 (Othello),19928730
127,10043531,계절의 변화(A Change Of Seasons),19808062
128,10043531,인형의 집(A Doll's House),20147823
129,10043531,휴론만의 요새(When Eight Bells Toll),20108131
130,10043531,거울 나라의 전쟁(The Looking Glass War),19698015
