,movie_name,code,actor1_code,actor2_code
0,극한직업,20182530,10019065,20125825
1,어벤져스: 엔드게임,20184889,10016538,10077150
2,겨울왕국 2,20197803,10077984,10055204
3,알라딘,20183867,10044943,10052967
4,기생충,20183782,10037018,10055970
5,엑시트,20184621,20121022,20224649
6,스파이더맨: 파 프롬 홈,20196309,20272630,10034095
7,백두산,20192206,10055626,10087253
8,캡틴 마블,20181877,10032597,10034095
9,조커,20199950,10051376,10043652
10,봉오동 전투,20184462,10054128,20208626
11,라이온 킹,20175771,10063250,10033021
12,나쁜 녀석들: 더 무비,20188750,10021341,10004437
13,82년생 김지영,20191029,10062071,10001901
14,분노의 질주: 홉스&쇼,20196850,10013266,10063676
15,토이 스토리 4,20184047,10081113,10081814
16,돈,20176103,20208626,10054008
17,악인전,20188941,10021341,10004099
18,가장 보통의 연애,20195920,10004028,10001919
19,말모이,20184105,10054128,10054204
20,증인,20185881,10062025,10006228
21,시동,20198414,10021341,20110693
22,블랙머니,20195002,10067353,20125825
23,터미네이터: 다크 페이트,20192083,10025100,10041170
24,사바하,20177539,10057315,20110693
25,타짜: 원 아이드 잭,20184572,20110693,10019067
26,신의 한 수: 귀수편,20181434,10002387,10006545
27,알리타: 배틀 엔젤,20188282,10077744,10082878
28,내안의 그놈,20176251,10028773,20194921
29,뺑반,20180868,10001919,20208626
30,변신,20184543,20136191,10035832
31,주먹왕 랄프 2: 인터넷 속으로,20189463,10068649,10033911
32,걸캅스,20184082,10013826,20225666
33,사자,20180442,20211007,10043371
34,아쿠아맨,20180290,20127372,10049704
35,드래곤 길들이기 3,20186261,10063418,10041935
36,나의 특별한 형제,20185784,10040665,20111692
37,어스,20185352,10059402,20271475
38,말레피센트 2,20191589,10043730,10049256
39,유열의 음악앨범,20181416,20125838,20219146
40,퍼펙트맨,20184483,10035772,10067353
41,포드 V 페라리,20192401,10025511,10077325
42,생일,20183096,10035772,10061252
43,"힘을 내요, 미스터 리",20187322,10071140,20307189
44,항거:유관순 이야기,20196601,10001670,20126450
45,장사리 : 잊혀진 영웅들,20193601,10004060,20209286
46,마이펫의 이중생활 2,20183844,10082756,10075582
47,롱 리브 더 킹: 목포 영웅,20198453,10004028,20270289
48,쥬만지: 넥스트 레벨,20198681,10013266,10060900
49,존 윅 3: 파라벨룸,20196655,10078687,10087875
50,남산의 부장들,20180939,10055626,20110148
51,다만 악에서 구하소서,20197922,10090290,10057315
52,반도,20193450,10000558,10057329
53,히트맨,20192101,10002387,10062240
54,테넷,20201122,10067623,20111975
55,#살아있다,20193069,10053802,10028892
56,강철비2: 정상회담,20196271,10062025,20111976
57,담보,20199816,10035832,10087280
58,닥터 두리틀,20199581,10016538,20272630
59,삼진그룹 영어토익반,20197121,10001670,20110323
60,정직한 후보,20193321,10013826,10004099
61,도굴,20192193,10057349,20134255
62,클로젯,20182447,10087253,10003788
63,오케이 마담,20199883,10047352,10028773
64,해치지않아,20183002,10043631,20112885
65,천문: 하늘에 묻는다,20184571,10072251,10087518
66,결백,20183813,20232987,10030226
67,1917,20192399,10067068,20345735
68,작은 아씨들,20192240,10040143,10049635
69,미드웨이,20196272,10082878,10082678
70,지푸라기라도 잡고 싶은 짐승들,20180962,10061252,10062025
71,미스터 주: 사라진 VIP,20188421,20110148,10004466
72,인비저블맨,20199842,10049433,
73,나쁜 녀석들: 포에버,20196670,10052967,10024676
74,국제수사,20184482,20127192,20200886
75,침입자,20197863,20066637,10004099
76,스타워즈: 라이즈 오브 스카이워커,20195462,10012332,20185628
77,스파이 지니어스,20192300,10052967,20272630
78,이웃사촌,20181983,10062023,10050151
79,온워드: 단 하루의 기적,20191048,20272630,10077262
80,소리도 없이,20194424,10053802,20152117
81,버즈 오브 프레이(할리 퀸의 황홀한 해방),20198431,10057917,10025732
82,원더 우먼 1984,20192567,10000433,10077251
83,오! 문희,20193666,10006877,10058320
84,그린랜드,20204008,10062791,10026215
85,위대한 쇼맨,20179462,10090817,10060933
86,뮬란,20193822,10053827,10056618
87,내가 죽던 날,20190582,10006380,20189363
88,신비아파트 극장판 하늘도깨비 대 요르문간드,20198374,20238067,20283550
89,프리즌 이스케이프,20207893,10009288,10056554
90,검객,20178401,10060612,20129449
91,조제,20201002,10087751,20279929
92,사라진 시간,20193859,10067353,10030161
93,밤쉘: 세상을 바꾼 폭탄선언,20204644,10035154,10008581
