,actor_code,movie_name,movie_code
0,20224649,공조2:인터내셔날,20215601
1,20224649,해피뉴이어(가제),20217807
2,20224649,기적(Miracle),20200474
3,20224649,엑시트(EXIT),20184621
4,20224649,공조(Confidential Assignment),20151228
5,10021341,이터널스(Eternals),20218256
6,10021341,거룩한 밤: 데몬 헌터스,20218800
7,10021341,그라운드 제로(Ground Zero),20219039
8,10021341,범죄도시 2(The Roundup),20204548
9,10021341,압구정 리포트(가제),20205106
10,10021341,백두산(ASHFALL),20192206
11,10021341,시동(START-UP),20198414
12,10021341,나쁜 녀석들: 더 무비(The Bad Guys: Reign of Chaos),20188750
13,10021341,노리개: 그녀의 눈물(Norigae),20191744
14,10021341,"악인전(The Gangster, The Cop, The Devil)",20188941
15,10021341,성난황소(Unstoppable),20184481
16,10021341,동네사람들(Ordinary People),20170513
17,10021341,원더풀 고스트(THE SOUL-MATE),20167903
18,10021341,신과함께-인과 연(Along with the Gods: The Last 49 Days),20186202
19,10021341,챔피언(Champion),20189783
20,10021341,신과함께-죄와 벌(Along with the Gods: The Two Worlds),20150976
21,10021341,부라더(The Bros),20172603
22,10021341,범죄도시(THE OUTLAWS),20172742
23,10021341,부산행:익스텐디드(TRAIN TO BUSAN:EXTENDED),20200846
24,10021341,두 남자(Derailed),20160472
25,10021341,부산행(TRAIN TO BUSAN),20156564
26,10021341,굿바이 싱글(Familyhood),20150972
27,10021341,함정(Deep Trap ),20143510
28,10021341,악의 연대기(The Chronicles of Evil),20149569
29,10021341,오 월(Begin Again),20190025
30,10021341,일대일(One on One),20148447
31,10021341,군도: 민란의 시대(KUNDO : Age of the Rampant),20123501
32,10021341,살인자(Murderer),20136894
33,10021341,결혼전야(Marriage Blue),20136061
34,10021341,더 파이브(The Fives),20134801
35,10021341,뜨거운 안녕(Rockin' on Heaven's Door),20127597
36,10021341,공정사회(Azooma),20129786
37,10021341,노리개(Norigae),20123201
38,10021341,이웃사람(The Neighbors),20125920
39,10021341,노리개 무삭제 확장판(Norigae),20132827
40,10021341,우리 만난 적 있나요(Try to Remember),20100661
41,10021341,래빗(The Rabbit),20111719
42,10041170,아이언 마스크: 용패지미(The Mystery of The Dragon Seal),20209127
43,10041170,터미네이터: 다크 페이트(Terminator: Dark Fate),20192083
44,10041170,킬링 군터(Killing Gunther),20185882
45,10041170,애프터매스(Aftermath),20181761
46,10041170,터미네이터 제니시스(Terminator Genisys),20141384
47,10041170,매기(Maggie),20162064
48,10041170,익스펜더블 3(The Expendables 3),20149818
49,10041170,사보타지: 무삭제(Sabotage),20210786
50,10041170,사보타지(Sabotage),20149372
51,10041170,이스케이프 플랜(Escape Plan),20135370
52,10041170,라스트 스탠드(The Last Stand),20123422
53,10041170,익스펜더블 2(The Expendables II),20128143
54,10041170,캐피탈리즘(Capitalism : A Love Story),20098347
55,10041170,애니 레보비츠: 렌즈를 통해 들여다본 삶(Annie Leibovitz: Life Through A Lens),20090321
56,10041170,터미네이터 3(Terminator 3: The Rise of the Machines ),20030095
57,10041170,콜래트럴 데미지(Collateral Damage),20010067
58,10041170,6번째 날(The 6th Day),20010104
59,10041170,엔드 오브 데이즈(End Of Days),20000068
60,10041170,배트맨 앤 로빈(Batman & Robin),19970217
61,10041170,솔드 아웃 (Jingle All The Way),19960347
62,10041170,이레이저 (Eraser),19960211
63,10041170,쥬니어 (Junior),19940429
64,10041170,트루 라이즈 (True Lies),19940288
65,10041170,터미네이터 2 : 심판의 날 감독판(Terminator II : Judgment Day Extended Special Edition),19918269
66,10041170,터미네이터2 3D(Terminator II),19910247
67,10041170,유치원에 간 사나이(Kindergarten Cop),19910156
